Number	Voltage	Counts	Time	Date/Time
1	750	11397	100	03/19/24 02:17:54 PM	
2	750	11345	100	03/19/24 02:19:35 PM	
3	750	11277	100	03/19/24 02:21:16 PM	
4	750	6693	100	03/19/24 02:23:30 PM	
5	750	6761	100	03/19/24 02:25:10 PM	
6	750	6607	100	03/19/24 02:26:51 PM	
7	750	4110	100	03/19/24 02:28:59 PM	
8	750	4198	100	03/19/24 02:30:40 PM	
9	750	4054	100	03/19/24 02:32:21 PM	
10	750	2712	100	03/19/24 02:37:59 PM	
11	750	2806	100	03/19/24 02:39:40 PM	
12	750	2845	100	03/19/24 02:41:21 PM	
13	750	2034	100	03/19/24 02:43:50 PM	
14	750	1967	100	03/19/24 02:45:30 PM	
15	750	1951	100	03/19/24 02:47:11 PM	
16	750	1472	100	03/19/24 02:52:33 PM	
17	750	1470	100	03/19/24 02:54:14 PM	
18	750	1417	100	03/19/24 02:55:55 PM	
19	750	1153	100	03/19/24 02:57:47 PM	
20	750	1123	100	03/19/24 02:59:27 PM	
21	750	1098	100	03/19/24 03:01:08 PM	
22	750	918	100	03/19/24 03:03:03 PM	
23	750	927	100	03/19/24 03:04:44 PM	
24	750	871	100	03/19/24 03:06:24 PM	
25	750	720	100	03/19/24 03:08:16 PM	
26	750	741	100	03/19/24 03:09:57 PM	
27	750	773	100	03/19/24 03:11:38 PM	
28	750	649	100	03/19/24 03:13:40 PM	
29	750	637	100	03/19/24 03:15:21 PM	
30	750	682	100	03/19/24 03:17:01 PM	
